phase,epoch,train_loss,train_best_makespan,val_makespan_greedy,val_makespan_best_of_k,epoch_time_seconds
Phase_1,7,0.1628187745809555,688.0,629.0,578.0,68.44222164154053
Phase_1,8,0.19647947450478873,744.0909090909091,629.0,626.0,64.21881222724915
Phase_1,9,0.17797516286373138,761.6363636363636,629.0,629.0,63.72528100013733
Phase_1,10,0.1985197514295578,716.3636363636364,629.0,668.0,63.91051244735718
Phase_1,11,0.1898116022348404,658.6363636363636,629.0,652.0,63.42686152458191
Phase_1,12,0.16688550582953862,654.5454545454545,629.0,609.0,66.14709997177124
Phase_1,13,0.18694905936717987,658.9090909090909,629.0,623.0,64.38853430747986
Phase_1,14,0.19357754290103912,691.3636363636364,629.0,624.0,63.20182514190674
Phase_1,15,0.14329794049263,689.2727272727273,629.0,613.0,63.88382411003113
Phase_1,16,0.17490527033805847,682.0,629.0,579.0,63.5528838634491
Phase_1,17,0.16422568900244577,668.9090909090909,629.0,602.0,64.05398631095886
Phase_1,18,0.16319221258163452,659.4545454545455,629.0,682.0,46.419482707977295
Phase_1,19,0.16652758419513702,657.1818181818181,629.0,604.0,46.26873421669006
Phase_1,20,0.17856571823358536,650.9090909090909,629.0,673.0,46.49942064285278
Phase_1,21,0.17731116712093353,716.1818181818181,629.0,606.0,47.479958295822144
Phase_1,22,0.17330174148082733,695.1818181818181,629.0,620.0,47.123217821121216
Phase_1,23,0.18041661168847764,733.2727272727273,629.0,636.0,47.17718243598938
Phase_1,24,0.1728941947221756,670.5454545454545,629.0,631.0,47.22406244277954
Phase_1,25,0.18461676687002182,651.8181818181819,643.0,634.0,48.041550397872925
Phase_1,26,0.1865292638540268,673.6363636363636,643.0,627.0,46.794339656829834
Phase_1,27,0.16605748236179352,701.1818181818181,643.0,624.0,45.14536190032959
Phase_1,28,0.17364805936813354,681.6363636363636,643.0,641.0,46.252521276474
Phase_1,29,0.22283530235290527,648.8181818181819,643.0,634.0,46.445507526397705
Phase_1,30,0.19366222620010376,691.7272727272727,643.0,575.0,45.80507850646973
Phase_1,31,0.20509127378463746,642.7272727272727,643.0,653.0,46.81672120094299
Phase_1,32,0.13735172152519226,677.0909090909091,643.0,634.0,47.84391689300537
Phase_1,33,0.17874667048454285,675.6363636363636,643.0,575.0,47.5701003074646
Phase_1,34,0.176523357629776,659.5454545454545,643.0,642.0,46.72831439971924
Phase_1,35,0.15945641696453094,658.6363636363636,643.0,571.0,47.07658076286316
Phase_1,36,0.18826492875814438,649.5454545454545,643.0,612.0,46.85529136657715
Phase_1,37,0.1740422308444977,662.0,643.0,648.0,47.80850553512573
Phase_1,38,0.17483939230442047,738.6363636363636,643.0,599.0,48.69982314109802
Phase_1,39,0.1729860082268715,670.2727272727273,643.0,554.0,46.824894428253174
Phase_1,40,0.17719042301177979,724.1818181818181,643.0,619.0,45.89229607582092
Phase_1,41,0.18647719281060354,673.0,643.0,599.0,47.405022859573364
