epoch,train_loss,train_best_makespan,val_makespan_greedy,val_makespan_best_of_k,best_of_k,val_limit
1,0.2224184051156044,1920.5,2618.0,2432.0,10,50
2,0.22883408516645432,1899.25,2269.0,2260.0,10,50
